Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /events/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01M&rst=8970179&ck=1&ref=https://www.netshoes.com.br/-934,1,190,190,190,0.00,0.000%,5.26316,2.09,3.27,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bnn/l_netshoes/2022-10-26/543_desk_mob.gif-914,1,99,99,99,0.00,0.000%,10.10101,933.85,5.15,94670.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bnn/l_netshoes/2022-10-27/765_desk_mob1.jpg-912,1,35,35,35,0.00,0.000%,28.57143,920.23,14.59,32981.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966988&ck=1&ref=https://www.netshoes.com.br/recommendations-941,1,191,191,191,0.00,0.000%,5.23560,2.08,3.44,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /j/collect?v=1&_v=j98&a=1750876873&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2F%3Fgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%26gclsrc%3Daw.ds&dp=%2F%3Fgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%26gclsrc%3Daw.ds&ul=pt-br&de=UTF-8&dt=Loja%20de%20Artigos%20Esportivos%20Online%20%7C%20Netshoes&sd=24-bit&sr=1680x1050&vp=1663x925&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667239846.1&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667247506509&_u=AAECAAABSAAAgCAAI~&jid=1840873240&gjid=683201444&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_r=1&_slc=1&cd16=Home&cd17=Home&cd18=&cd19=Home&cd43=&z=789687446-943,1,65,65,65,0.00,0.000%,15.38462,9.39,19.31,625.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /box-c1417f7b48595d0dbca01c86f95d6dbb.html-944,1,96,96,96,0.00,0.000%,10.41667,17.60,5.41,1730.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966989&ck=1&ref=https://www.netshoes.com.br/recommendations-942,1,182,182,182,0.00,0.000%,5.49451,2.18,5.37,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /m/cs.js-903,1,231,231,231,0.00,0.000%,4.32900,212.27,1.66,50211.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/messaging-system/undesired-events/1/7764f7be-83b9-476c-8842-b14c41fb5360-947,1,248,248,248,0.00,0.000%,4.03226,2.44,4.51,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/messaging-system/undesired-events/1/44a87b74-bb3f-471f-95e3-bd7eda153f12-946,1,265,265,265,0.00,0.000%,3.77358,2.28,4.22,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/messaging-system/undesired-events/1/ae19ecd3-4b41-4771-af9b-13f1f7c69428-945,1,246,246,246,0.00,0.000%,4.06504,2.46,4.55,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/messaging-system/undesired-events/1/3a7dd64f-ffd7-46d4-bbd7-cf9fab4ae524-948,1,256,256,256,0.00,0.000%,3.90625,2.37,4.37,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /webstore-recommendations-view/ffe12e31a/netshoesbr/fonts/source-sans-pro-v14-latin-regular.woff2-953,1,19,19,19,0.00,0.000%,52.63158,867.86,29.25,16885.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/messaging-system/undesired-events/1/b26fed27-f885-4690-b686-c1451dd34cb8-949,1,215,215,215,0.00,0.000%,4.65116,2.82,5.20,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /pagead/ppub_config-952,1,239,239,239,0.00,0.000%,4.18410,4.37,1.92,1070.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gtm.js-950,1,262,262,262,0.00,0.000%,3.81679,416.38,1.52,111710.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gtm.js-951,1,178,178,178,0.00,0.000%,5.61798,641.78,2.24,116978.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gtm/js-954,1,142,142,142,0.00,0.000%,7.04225,371.05,3.78,53953.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gpt/pubads_impl_2022102501.js-955,1,67,67,67,0.00,0.000%,14.92537,1916.03,6.15,131455.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /j/collect?v=1&_v=j98&a=1996826053&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dmiddle&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dmiddle&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667239846.1&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667247508504&_u=AAECAEABSAAAiCAAI~&jid=&gjid=&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_slc=1&cd16=undefined&cd17=undefined&z=718599297-956,1,70,70,70,0.00,0.000%,14.28571,8.69,16.42,623.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /frame-image-br/bg.png-958,1,101,101,101,0.00,0.000%,9.90099,4.99,5.31,516.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gtm.js-957,1,147,147,147,0.00,0.000%,6.80272,415.76,2.79,62584.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /aperture/aperture.js-959,1,84,84,84,0.00,0.000%,11.90476,161.17,4.65,13863.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /plugins/ua/ec.js-961,1,16,16,16,0.00,0.000%,62.50000,119.26,24.60,1954.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /ga.js-963,1,147,147,147,0.00,0.000%,6.80272,118.24,2.60,17798.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gtm/js-962,1,102,102,102,0.00,0.000%,9.80392,516.87,4.67,53986.0
