Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /j/collect?v=1&_v=j98&a=1750876873&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2F%3Fgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%26gclsrc%3Daw.ds&dp=%2F%3Fgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%26gclsrc%3Daw.ds&ul=pt-br&de=UTF-8&dt=Loja%20de%20Artigos%20Esportivos%20Online%20%7C%20Netshoes&sd=24-bit&sr=1680x1050&vp=1663x925&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667239846.1&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667247506509&_u=AAECAAABSAAAgCAAI~&jid=1840873240&gjid=683201444&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_r=1&_slc=1&cd16=Home&cd17=Home&cd18=&cd19=Home&cd43=&z=789687446-943,1,73,73,73,0.00,0.000%,13.69863,8.36,17.19,625.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /box-c1417f7b48595d0dbca01c86f95d6dbb.html-944,1,85,85,85,0.00,0.000%,11.76471,19.88,6.11,1730.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966989&ck=1&ref=https://www.netshoes.com.br/recommendations-942,1,188,188,188,0.00,0.000%,5.31915,2.11,5.20,407.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /m/cs.js-903,1,122,122,122,0.00,0.000%,8.19672,401.92,3.15,50211.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/messaging-system/undesired-events/1/7764f7be-83b9-476c-8842-b14c41fb5360-947,1,247,247,247,0.00,0.000%,4.04858,2.45,4.53,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/messaging-system/undesired-events/1/44a87b74-bb3f-471f-95e3-bd7eda153f12-946,1,237,237,237,0.00,0.000%,4.21941,2.55,4.72,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/messaging-system/undesired-events/1/ae19ecd3-4b41-4771-af9b-13f1f7c69428-945,1,237,237,237,0.00,0.000%,4.21941,2.55,4.72,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/messaging-system/undesired-events/1/3a7dd64f-ffd7-46d4-bbd7-cf9fab4ae524-948,1,264,264,264,0.00,0.000%,3.78788,2.29,4.24,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /webstore-recommendations-view/ffe12e31a/netshoesbr/fonts/source-sans-pro-v14-latin-regular.woff2-953,1,19,19,19,0.00,0.000%,52.63158,867.86,29.25,16885.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/messaging-system/undesired-events/1/b26fed27-f885-4690-b686-c1451dd34cb8-949,1,276,276,276,0.00,0.000%,3.62319,2.19,4.05,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /pagead/ppub_config-952,1,240,240,240,0.00,0.000%,4.16667,4.35,1.91,1070.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gtm.js-950,1,324,324,324,0.00,0.000%,3.08642,336.70,1.23,111710.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gtm.js-951,1,165,165,165,0.00,0.000%,6.06061,692.34,2.41,116977.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gtm/js-954,1,95,95,95,0.00,0.000%,10.52632,554.95,5.65,53986.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gpt/pubads_impl_2022102501.js-955,1,65,65,65,0.00,0.000%,15.38462,1974.98,6.34,131455.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /j/collect?v=1&_v=j98&a=1996826053&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dmiddle&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dmiddle&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667239846.1&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667247508504&_u=AAECAEABSAAAiCAAI~&jid=&gjid=&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_slc=1&cd16=undefined&cd17=undefined&z=718599297-956,1,69,69,69,0.00,0.000%,14.49275,8.82,16.66,623.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frame-image-br/bg.png-958,1,123,123,123,0.00,0.000%,8.13008,4.10,4.36,516.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gtm.js-957,1,79,79,79,0.00,0.000%,12.65823,773.65,5.19,62585.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /aperture/aperture.js-959,1,76,76,76,0.00,0.000%,13.15789,178.13,5.14,13863.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /plugins/ua/ec.js-961,1,16,16,16,0.00,0.000%,62.50000,119.26,24.60,1954.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /ga.js-963,1,132,132,132,0.00,0.000%,7.57576,131.67,2.90,17798.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /gtm/js-962,1,85,85,85,0.00,0.000%,11.76471,620.24,5.61,53986.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /Scripts/i/Freedom.min.js-960,1,569,569,569,0.00,0.000%,1.75747,1.92,0.70,1121.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /j/collect?v=1&_v=j98&a=1748488580&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dbottom&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dbottom&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=1306x158&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667239846.1&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667247509777&_u=AAECAEABSAAAiCAAI~&jid=&gjid=&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_slc=1&cd16=undefined&cd17=undefined&z=1783464901-965,1,64,64,64,0.00,0.000%,15.62500,9.51,18.10,623.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /114782.ct.js-967,1,82,82,82,0.00,100.000%,12.19512,18.21,0.00,1529.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /box/CheckActiveAccount-964,1,138,138,138,0.00,0.000%,7.24638,3.10,3.11,438.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /bat.js-966,1,145,145,145,0.00,0.000%,6.89655,82.93,2.57,12314.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /js/loadbee_integration.js-968,1,90,90,90,0.00,0.000%,11.11111,123.69,4.37,11399.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /r/__utm.gif-969,1,64,64,64,0.00,0.000%,15.62500,9.00,15.73,590.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jsdata?-970,1,85,85,85,0.00,0.000%,11.76471,5.50,22.56,479.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /Scripts/i/Freedom.Full.min.js-971,1,74,74,74,0.00,0.000%,13.51351,419.04,5.48,31753.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /j/collect?v=1&_v=j98&a=1952278664&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dtop&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dtop&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=1306x416&je=0&_utma=25886882.1390793279.1667239669.1667239846.1667247510.2&_utmz=25886882.1667239846.1.1.utmgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%7Cutmgclsrc%3Daw.ds%7Cutmccn%3D(not%2520set)%7Cutmcmd%3D(not%2520set)&_utmht=1667247510617&_u=AAECAEABSAAAiCAAI~&jid=&gjid=&cid=1390793279.1667239669&tid=UA-1776034-5&_gid=1792884466.1667239669&_slc=1&cd16=undefined&cd17=undefined&z=1653266821-972,1,76,76,76,0.00,0.000%,13.15789,8.01,15.16,623.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /114782.ct.js-973,1,23,23,23,0.00,100.000%,43.47826,64.92,0.00,1529.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /js/loadbee_integration.js-974,1,19,19,19,0.00,0.000%,52.63158,585.89,20.71,11399.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /frame-image-br/bg.png-975,1,31,31,31,0.00,0.000%,32.25806,16.26,18.18,516.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /jsdata?-980,1,18,18,18,0.00,0.000%,55.55556,25.99,106.55,479.0
